; Quintessential Latin 0.240; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2F13	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2F14	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND TWO STEMS
F2F15	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER AND STEM
F2F16	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2F17	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2F18	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM AND TAIL
F2F19	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER AND TAIL
F2F1A	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2F1B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND TWO ASCENDERS
F2F1C	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2F1D	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2F1E	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
F2F1F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2F20	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND TWO STEMS
F2F21	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER AND STEM
F2F22	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2F23	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2F24	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM AND TAIL
F2F25	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER AND TAIL
F2F26	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2F27	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND TWO ASCENDERS
F2F28	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2F29	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2F2A	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
F2F2B	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2F2C	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND TWO STEMS
F2F2D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER AND STEM
F2F2E	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2F2F	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2F30	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM AND TAIL
F2F31	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER AND TAIL
F2F32	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2F33	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND TWO ASCENDERS
F2F34	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2F35	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2F36	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
F2F37	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2F38	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND TWO STEMS
F2F39	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER AND STEM
F2F3A	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM AND DESCENDER
F2F3B	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER AND DESCENDER
F2F3C	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM AND TAIL
F2F3D	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER AND TAIL
F2F3E	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM AND ASCENDER
F2F3F	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND TWO ASCENDERS
F2F40	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM AND LONG STEM
F2F41	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER AND LONG STEM
F2F42	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM AND LONG TAIL
F2F43	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH SPINE AND ASCENDER AND LONG TAIL
F2F44	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND TWO STEMS
F2F45	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER AND STEM
F2F46	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM AND DESCENDER
F2F47	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER AND DESCENDER
F2F48	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM AND TAIL
F2F49	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER AND TAIL
F2F4A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM AND ASCENDER
F2F4B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND TWO ASCENDERS
F2F4C	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM AND LONG STEM
F2F4D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER AND LONG STEM
F2F4E	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM AND LONG TAIL
F2F4F	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND SPINE AND ASCENDER AND LONG TAIL
F2F50	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND TWO STEMS
F2F51	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER AND STEM
F2F52	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM AND DESCENDER
F2F53	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER AND DESCENDER
F2F54	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM AND TAIL
F2F55	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER AND TAIL
F2F56	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM AND ASCENDER
F2F57	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND TWO ASCENDERS
F2F58	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM AND LONG STEM
F2F59	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER AND LONG STEM
F2F5A	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM AND LONG TAIL
F2F5B	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND ASCENDER AND LONG TAIL
F2F5C	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND TWO STEMS
F2F5D	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER AND STEM
F2F5E	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM AND DESCENDER
F2F5F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER AND DESCENDER
F2F60	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM AND TAIL
F2F61	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER AND TAIL
F2F62	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM AND ASCENDER
F2F63	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND TWO ASCENDERS
F2F64	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM AND LONG STEM
F2F65	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER AND LONG STEM
F2F66	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM AND LONG TAIL
F2F67	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER AND LONG TAIL
F2F68	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND TWO STEMS
F2F69	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER AND STEM
F2F6A	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM AND DESCENDER
F2F6B	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER AND DESCENDER
F2F6C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM AND TAIL
F2F6D	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER AND TAIL
F2F6E	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM AND ASCENDER
F2F6F	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND TWO ASCENDERS
F2F70	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM AND LONG STEM
F2F71	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER AND LONG STEM
F2F72	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM AND LONG TAIL
F2F73	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER AND LONG TAIL
F2F74	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND TWO STEMS
F2F75	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER AND STEM
F2F76	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM AND DESCENDER
F2F77	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER AND DESCENDER
F2F78	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM AND TAIL
F2F79	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER AND TAIL
F2F7A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM AND ASCENDER
F2F7B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND TWO ASCENDERS
F2F7C	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM AND LONG STEM
F2F7D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER AND LONG STEM
F2F7E	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM AND LONG TAIL
F2F7F	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER AND LONG TAIL
